name,title,date,review_text
The Apurva Kempinski Bali,SPECTACULAR,10/01/2021,"When we arrived at the resort, our car could not enter the building because a government event was being held that day. Our car had to circle for about 15 minutes. In the end, many guests were forced to walk from the parking lot to the lobby. We stayed for two nights in Cliff Private Pool Ocean View room and couldn’t ask for a better experience for real. The amenities, the bed, and the view are excellent. The sunrise view from our room is spectacular. All other facilities that they provide in the resort make you never bored during the stay I want to express my gratitude to Mr. Arya Wirawan, the Cliff lounge manager, who has accommodated our complaints during the check-in process. His professionalism, empathy, and hospitality make our stay even more memorable in The Apurva…"
The Apurva Kempinski Bali,"pelayanan nya oke banget, hotel nya bersih, dan disana kita di bantu oleh Joshua, butler nya super ramah. Thank you",09/01/2021,"pelayanan nya oke banget, hotel nya bersih, dan disana kita di bantu oleh Joshua, butler nya super ramah. Makanannya juga enak2, view nya gokil, recommend banget buat liburan kesini, soon kita akan kembali lagi kesiniiiiiiiiii, Thank you"
The Apurva Kempinski Bali,Awesome stay at kempinski hotel,10/01/2021,"Thank you for awesome hospitality 4 times stayed here during pandemic . Safe and nice for healthy covid protocol All staff are nice , cliff lounge staff , 9th and 10th floor Thank you MR Pande , duty manager cliff suite for the wedding anniversary cake , and help us to found our left stuff . Also for nice hospitality from in room dining MR Bobby to arrange our floating breakfast with flowers Must stay hotel when visit bali 🌟🌟🌟🌟🌟"
The Apurva Kempinski Bali,Cliff Junior Ocean Suite,10/01/2021,"it was my husb birthday and the hotel Staff (Sabrina), help me to arrange the birthday cake deliver at midnight! great hotel with great service. all the staff are welcome. the room is clean and spacious. The food at the restaurant was good. i really enjoy stay at Apurva Kempinski Nusa Dua Bali."
The Apurva Kempinski Bali,The Worst Resort Service in Bali,10/01/2021,"DO NOT STAY IN THIS HOTEL UNLESS YOU LIKE TO BE TREATED INHUMANLY!! Talked to my relatives and friends, who stayed in this hotel before, about my bad experience, they ALL came across a similar experience as mine! This is my second visit. My first visit was 3 months ago and the experience was horrible. Since my son likes their water slides, we decided to give this hotel a second chance. No surprise, this hotel ruined our holiday AGAIN. I did write a review to the hotel after my first stay but received no response nor improvement. Clearly, they ignored guests comments. Let me LIST what I had been through during these two stays (total 7 nights): 1. Four of us stayed in a Jr cliff ocean suite with extra bed and one child breakfast had been paid in advance. WHENEVER we go to the…"
The Apurva Kempinski Bali,Probably the best hotel and resort in Bali.,10/01/2021,"We stayed here for 4 days. We moved from front ocean to Sanghari villa. It is very nice villa and to be honest probably the best in Bali. We are back here after 2 years without travelling. It is a payback time :) + Clean room, friendly staff, big bed, nice view, nice breakfast ( lots of selection ), - Difficult finding parking especially when no driver."
The Apurva Kempinski Bali,Our second stay,09/01/2021,"Our second visit to this hotel, this time we were a couple celebrating our honeymoon. Before we stay, Ms. Armini from Reservation Team very helpful to arranged our room and also arranged my family room. Checked in was smooth with Ms. Diana assistance & also checked out was great with Mr. Deni assistance. We had lunch at The Reef Beach Club and we had our dinner at Izakaya by Oku. The staff are amazing and very friendly. Shout out to Ms. Devi at Izakaya bu Oku who assisted us during our dinner time with complimentary honeymoon cake & ice cream. During breakfast at Pala Restaurant, Mr. Hariasa, Ms. Sariani, dan Mr. Ngurah were very helpful. We were always very satisfied for everything in Apurva Kempinski Bali! its attentive service, its delicious and wide spread food, and its…"
The Apurva Kempinski Bali,Awesome service & experience,09/01/2021,"Fasilitas kamar sangat bagus, banyak kegiatan yang bisa dilakukan di hotel spt canoe-ing, camel riding, paddle boarding, dan lainlain. Untuk service sangattttt2 memuaskan terutama butler Joshua dan Pak Lurus, dan juga employee lainnya servicenya sangat2 memuaskan. Will for sure come back to apurva again!! 10 stars from me 😆😆"
The Apurva Kempinski Bali,Perfect Staycation,09/01/2021,"We have just spent our 2nd nights out of our planned 4-nights here. So far evrything are flawless and we were impressed since our arrival and being picked up at the airport. My wife (a Gold Discovery Kempinski Member) and I picked the Ocean Cliff Junior Suite with private pool. Check-in process was smoothly done helped by Demi(?) at the lounge. The premises area is huge with beach front. Room is spacious with contemporary design of dark woods touch. Amenities are abundant. Suite guesses are given complimentary breakfast at the Cliff Lounge which we love the selection both ala carte and buffet menus. In room dining meals also suits to our taste and portion referrence. The staff are pleasantly and genuinely attentive, and some of them remembered my wife names and our…"
The Apurva Kempinski Bali,what an experience !,09/01/2021,"We have such a gladly wonderful experience stayin at this resort! a very thoughtful resort with a magnificent concept of Majapahit Kingdom make us felt like a true guest of the kingdom. The building, the facilities, the services and the staff are exceptional! Not to mention a bad experience I had when I lost my access card after playing at the beach, the front desk staff, Mr Irawan and Miss Tami (not really remember the name but really want to give a credit to her as she is also very lovely) are so very helpful with the process of us getting a new access card without hesitation. For overall experiences I would love to give all staffs and facilities 100000000 out of 10!"
The Apurva Kempinski Bali,Hotel Mewah Daerah Bali,09/01/2021,Fasilitas hotel keren serta pelayanan ramah dan cepat tanggap. Rekomendasi hotel untuk liburan atau bisnis. Kamar luas dan nyaman. Restauran aquarium keren dan menu makanan enak. Tidak akan kecewa untuk booking hotel. Next time pasti ke Kempinski ini lagi
The Apurva Kempinski Bali,Absolutely Fabulous!,09/01/2021,"We absolutely had such a wonderful time here! Nur Fitri and the front desk team took care of us so well, outstanding service and taking care of ever detail! We highly recommend this property to anyone looking for a fabulous get away! Sufit, Lakshmi & Geha went above and beyond to ensure our dinner experiences exceeded our expectations. Be prepared to get pampered and have a blast!"
The Apurva Kempinski Bali,Always a good time in apurva kempinski,09/01/2021,"Excellent service, as always! This is our third time staying in apurva and never disappointing. Staffs are very friendly and helpful, The food are delicious, The room is so cozy, And of course the view always makes us feel in love with the place. Perfect choice for a family vacation."
The Apurva Kempinski Bali,Amazing place!,09/01/2021,"The Apurva Kempinski in Bali is ideaal voor gezinnen! Indoor en outdoor play area en kidspool. Het ontbijt is zeer uitgebreid, lopend buffet. Het resort beschikt over diverse restaurants dus genoeg keuzes! Alles is zeer schoon, de lobby is verbluffend mooi en het personeel zeer behulpzaam en vriendelijk. Wij komen zeker nog een keer terug!"
The Apurva Kempinski Bali,Best View Hotel in Nusa Dua Bali and Romantic Koral Restaurant,09/01/2021,"Yeay! I'm so happy finally visited one of the grandest hotels in Nusa Dua Bali. I want to tell about my experience when I entered Apurva Kempinski Bali. They have underwater hidden gems with natural and romantic vibes. This hotel is strategic location quite close to the airport only about 30 minutes, if you use a car via the toll road. When heading to the hotel, we will enter Jl. Raya Nusa Dua Selatan, Benoa, Kuta Selatan, Badung this are which is very beautiful, the setting is suitable for those who like the natural atmosphere. Arriving at the Apurva Kempinski Bali Gate Hotel, we were greeted by very friendly staff, the lobby was magnificent architecture and the view was really amazing cool because its directly faced the sea and we could also see the swimming pool from above…"
The Apurva Kempinski Bali,Outstanding service !,09/01/2021,"Trust is earn not given, it is truly what we’ve experienced during our stay in Apurva for the past 4 days. The service was right away spot on during the check in process for our Junior Cliff Suite, the front office officer - Setyawan was an outstanding hotelier ! He truly shown a great hospitality during the check in process and ensuring that my family needs and requirement are taken care of during our stay. We experienced an unfortunate situation where my wife left her mobile phone in the room upon check out and we just realized it several hours upon our departure. The service center staff - Ayu Sudarmi handled our call to ask for the missing mobile phone situation calmly and in proper manner, within minutes the hotel staff confirming that the mobile phone was indeed left in…"
The Apurva Kempinski Bali,"11/10. Amazing, personalised service. Great attention to detail, hygiene & safety during COVID.",09/01/2021,"I am a frequent visitor of Bali - allured by it's mystical and magical aura as well as the variety of activities suited for any type of traveler. Most of all, I love the warmth and friendliness of the Balinese & Indonesian people. No more is this more apparent than in The Apurva Kempinski Hotel - which combines a breathtaking property with surreal views, world class facilities and arguably the best hospitality I have ever experienced. Any hotel can take your breath away, especially in Bali where you have a long menu of exceptional properties to choose from - but it's the little things that matters and the service which, for me, puts Apurva in a league of their own. I'll give some examples. My wife drinks a lot of water, housekeeping picked up on this without us informing them…"
The Apurva Kempinski Bali,Amazing Hotel you dont want to Miss,09/01/2021,"First time here. Have extensive Travel sround the world in 5 star Hotels. We stayed in ocean front suite on top floor with ajoing suite room for our 2 daughters. Both rooms had their own pools. The Views are amazing evennfrom the Bathroom. One of the better rooms Ive stayed in. They have about 5 restaurants Koarl under an aquarium fine dinning, very good set menues a must experience. Hot Pot restairant was very top quality and woukd repeat. Healthy. Our Favorote was the Japanese restaurant. We were there 3 times. Excelent Sushi and Sashimi and the best wagu seared at your table. All three were staffed with great service and staff that went out of their way to make your experience rememerable. Very nice beach and large pools for any outdoor sunning. Good white sand beach. All…"
The Apurva Kempinski Bali,Family holiday,08/01/2021,"We were so impressed by gorgeous architecture entrance/lobby area, our beautiful room and our private pool, that was Amazing staycation for my family, kids had an amazing time at the kids club, the staff were friendly, especially utami, she’s so kind , utami took time to interact with my kids at the pool and even help me to take photo of me and my family,that was amazing photo, thankyou so much utami , my family had a great time at main pool that was beautiful pool with view and for the staff at kubu bar,willy and hendra thankyou for give us delicious food. And we also went to koral restaurant, the foods were great and my kids love watching the fish. Thankyou Kempinski and staff for the amazing experience 💕"
The Apurva Kempinski Bali,Incredible restaurants,09/01/2021,"I love the Apurva and come regularly to enjoy the facilities and restaurants. I want to give a shout to the incredible Chef, Eric. I got lucky to meet him and spend some time with him after lunch. He is kind and passionate and I love witnessing him interact with his team. Eric took time to interact with my kids and make them feel really special. Well done Eric and your team, we will be back again and again and tell all our friends. Hospitality redefined!"
The Apurva Kempinski Bali,Amazing,08/01/2021,"Second visit. Its been about 2 years after firts visit to this hotel and to make sure that all of what I'm complaining before is sort off. And yes, everything is good now. Water quality is good, door key is operate smoothly, food is delicious and the coral restourant is so amazing. Now you make me and family are so happy. Thanks that Apurva has hear our voice. We'll be back soon."
The Apurva Kempinski Bali,MEMORABLE HONEYMOON STAY,08/01/2021,"We booked The Apurva Kempinski Bali for our honeymoon and came with a very high expectation. Honestly, the experience was beyond what we had expected. First off we were greeted with a happy-honeymoon flower arrangement, cake, fruit, and champagne. (interestingly they provide us herbs for our honeymoon, namely “Jamu Kuat for me and Sari Rapet for her”) lol. Amazing landscape, luxurious room, and amenities, topped with impeccable and extra personal service (most of the staff members greet you by name!). Special thanks to Ibu Ririn Sidabutar for arranged my room started from pre-arrival, thank you to Pak Arya for providing good service in operations, thank you to Wanda Adi for giving us very friendly service with whatever our needs are. Thank you Pak Rispan for coming quickly to…"
The Apurva Kempinski Bali,Vacation mode,08/01/2021,"How do I go on vacation mode ??? Me and my friends having such amazing sangria in Bali… Thank you for suggesting me dear Adit & Adi Sastra ... you guys are pretty cool ! Riff beach club at Apurva Kempinski Bali, one of The best beach club in bali 🌴💕…"
Hilton Bali Resort,Nice place to stay!,10/01/2021,"The hospitality are really great! Never had experienced such a great hospitality and nice staffs. I like the cleanness and ambience, also the view was pretty too! Served breakfast so well and foods are tasty tok! Will be back to hilton if i visit Bali again"
Hilton Bali Resort,No redeeming quality but the view.,10/01/2021,"Honestly appalling. Every single thing about the resort was horrible, the only saving grace is the view. First impression: the lady who checked us in seemed really inexperienced/undertrained. we had booked a room with executive lounge access, and she didn’t mentioned anything about it. Until we asked, which turned out the lounge was closed and we were only given 2 drinks voucher for the evening. Very disappointing, as if compared to ANY other hotel/resorts, an executive lounge will have full access all day for non-alcoholic drinks, and some food in certain time of day. When we asked if any food will be served along with the drinks, she said no and only drinks are offered. She did slip that they were “cutting down” which I assumed due to the pandemic therefore I let it go. When…"
Hilton Bali Resort,Clean rooms yummy breakfast,10/01/2021,"Clean rooms, lots of food for breakfast, large resort hotel. Comfortable sofa bed area, expensive small portion gado2. Welcoming staff but did not get welcome drink maybe cz i checkedin for a wedding. Lunch food was average. Had to walk to the security pos to pickup gofood as usual with large hotels -inconvenient but what can we do.."
Hilton Bali Resort,Clean and friendly staff,10/01/2021,"Beautiful view, good location, very friendly and responsive staffs. A bit far to walk from parking lot to the lobby. However it is very recommended to stay here of you want to have a good and quality time with your family."
Hilton Bali Resort,Honeymoon in Bali,10/01/2021,Menginaplah di hotel bintang 5 di Bali salah satunya hilton bali resort. fasilitas mewah dan memiliki akses langsung ke pantai. saya memilih kamar tipe cliff tower ocean view. sangat indah bisa menikmati lautan lepas dari balkon kamar.
Hilton Bali Resort,Staff Training Lacking,08/01/2021,"Its very out of keeping for me to write a review that is less than glowing. After contacting their management and getting such a poor response, I felt the need to sadly. Let me start out with the positives: The 1 bedroom executive suites are fantastic - so well appointed, huge decks, amazing views - superb. The pool with the slides for the kids are fantastic The downside: Check in takes on average 1 hour every time we stayed which was 3 times over this past year. The food is terrible. The beach (unlike other hotels in Nusa Dua) isn't safe for swimming, is very steep and you can't do any Watersports or activities like cycling along the beach like other hotels which is a big disadvantage. Perhaps the biggest issue however is the staff training. During the pandemic, we…"
Hilton Bali Resort,Honeymoon in Bali 💕❤️,10/01/2021,"Menginap di Hotel bintang 5 kawasan Nusa Dua - Hilton Bali Resort merupakan pilihan yang tepat saat liburan di Bali. Sambil menunggu sunset kita bisa duduk santai dan menikmati makanan dan minuman di The Shore Restaurant. Hotelnya bersih, pemandangannya bagus dan staff hotel ramah. Fasilitas di hotel ini super lengkap dan mewah mulai dari kolam renang , gym, pantai, restoran dll. Menu breakfast ya juga beraneka ragam dan rasanya enak banget. Saya dan suami memilih kamar dg tipe cliff tower ocean view. Wajib banget deh saat anda berkunjung ke Bali menginaplah di Hilton Bali Resort Guys. 😉😀☺️"
Hilton Bali Resort,first time,10/01/2021,"hotel dengan harga sangat terjangkau di masa pandemi. menawarkan free up grade kamar ke kelas yang lebih tinggi. kamar luas, sangat terawat. sprei, bed cover, handuk, semua putih bersih tanpa noda secuilpun. akses langsung ke pantai dari belakang hotel, hanya pantainya kurang cocok untuk berenang. ada observation deck di cliff tower yang pemandangannya luar biasa saat malam. yang kurang dari hotel ini, internetnya putus nyambung, parkir jauh dan sandal hotel by request."
Hilton Bali Resort,절대 추천 안합니다.,09/01/2021,"일단 직원들 한테 요청하면 소통이 안되서 똑같은 내용을 3~4번씩 설명해야 하고, 방음이 진짜 최악으로 안됩니다. 특히 다른방에서 샤워 하거나 욕조에 물 받으면 무슨 천둥소리 처럼 엄청크고 방에서 조그맣게 떠드는 소리까지 다 들려서 3일 내내 잠을 설쳤습니다. 그리고 음식은 너무 맛이 없으며(여행가면 로컬 음식도 다 잘 먹는 1인), 저와 남편둘다 음식에서 머리카락 나왔습니다. 호텔 음식을 남기기는 첨이였네요. 그리고 아고다로는 절대 예약 하지 마세여. 2명 정보가 항상 저장 되어있었는데 무슨 아고다에서 만든 스페셜가격으로 예약 했다가 정보가 1명으로 바뀌면서 조식등 힐튼 체크인시 추가 요금을 냈으며, 아고다로 요청했던 높은층, 허니문등등 요청 사항 선택이 있는데 하나도 힐튼에 전달 되지 않는다고 합니다. 그리도 좋아서 혹시 힐튼 하실경우 아고다로는 하지 마세요."
Hilton Bali Resort,Beautiful property but lack of personal service,09/01/2021,"Im here for my honeymoon, so my expectation is a bit higher than the usual. The property is beautiful and clean. However there is no valet service to help with the parking. Little thing such as ice cube is charged. Payment at the restaurant has to be in front, so I don’t feel like it’s the usual resort’s service."
Hilton Bali Resort,Nice Hotel with blue ocean,09/01/2021,"I love this hotel, staffs are friendly, food was great, room view is excellent. You also can find monkey around the hotel. This hotel has a nice beach sand, also an outdoor jacuzzi. Super love and recommended!"
Hilton Bali Resort,"Amazing stay experience, never failed",09/01/2021,"3rd times coming and always amazing. This time i got upgraded to the one bedroom villa. All the staff are very helpful especially Pak Agus as a Front Office Manager was making our check in process ran smoothly. See you for the next bali visit, Hilton Bali Resort 😊"
Hilton Bali Resort,A Hilton experience,09/01/2021,"I wouldn’t say that I didn’t enjoy my stay here but couple of things need to be said: + I love the breakfast selection and also eggs station definitely my top picks + Although I didn’t go to swim here, the pool is really beautiful, spacious and kids-friendly - Lifts took forever and they only turned one or two lifts so it took quite some time - not a big fan of monkeys, there are quite a lot of monkeys and we need to keep the door closed - super slow internet connection and might not be suitable for video conferences. I rarely used it and ended up tethered from my mobile"
Anantara Uluwatu Bali Resort,Family Vacation on Uluwatu Cliff. Worth it to try!,10/01/2021,"Anantara Uluwatu is worth it to stay with family! Ocean view experience from the villa is amazing, also their 5 stars service. But cause of pandemic shutdown effect, lot of things still need detail maintenance. I hope this 5 stars hotel and all-Bali Tourism recovery soon! Oiya, you must see the sunset! Anantara have the best view I ever seen!"
Anantara Uluwatu Bali Resort,Better stay at other hotel,09/01/2021,"We reached the hotel quite late due to some accident happened on our way there. We were quickly greeted by a very knowledgeable front desk officer. He explained everything very detailed. We booked 2 rooms and stayed for 3d2n. Hotel gave complimentary photo sessions for both rooms. Unfortunately since it is quite late, photo sessions were fully booked on the following day so our photo sessions were scheduled on the check out day. The only slot available was at 1pm and we were told that the photo result would only be available at 3pm. Because of that, we asked for late check out. The front desk informed us that they can only provide late check out at 3pm for one room which was fine with us. Then I asked the front desk to ensure that when we checked out at 3pm, the photo result…"
Anantara Uluwatu Bali Resort,Great Resort and Service,10/01/2021,"Visited this amazing resort for a day and it was such an amazing experience. The 2 bedroom villas are super clean, the the staffs are kind and helpful. We also have our own small garden, pool, and living room, which is very convenient for a family. However, the stairs are unbelievable. Maybe it’s better to have a lift from the parking lot to the lobby. Despite of that, we will definitely come back again for another great stay."
Anantara Uluwatu Bali Resort,Amazing experience at anantara uluwatu,10/01/2021,The room is spacious and clean..breakfast various and also delicious..view so nice and pool so big..hospitality no 1! Very recommended to stay here..i get photo session with my family..we create memories here..thank you anantara 😁
Anantara Uluwatu Bali Resort,"Breathtaking ocean view from your suite, but noisy",09/01/2021,"We stayed at ocean view suite. Beautiful view and no obstruction view of the sunset. Small fishing boats in the horizon and surfers riding the small waves. You can also decent to the beach below with the elevator, operating in limited time in the afternoon during low tide. The jacuzzi on the balcony is a plus. The most downside is the suite is not sound proof at all. Can hear clearly the noises coming from the sound system in the next room, so annoying. We complained but only stop for a while. The suites boast with Bose sound system but room is not sound proof. And the noises from the suites below were also apparent. Breakfast at 360 is good especially the Western menu. The others restaurants : Sono Japanese Teppanyaki and Blue Bottle is just OK.. Waiters and staffs…"
Anantara Uluwatu Bali Resort,5 x Star Service Level ( Staff Fantastic),09/01/2021,Fantastic Level of Service from Front Desk and Back Office Staff. 5 Stars. Especially Kadek Budiartha and Fafa. Thank you again. Looking forward to coming back soon with my family. ( By the way..if you surf or like watching ocean..Impossibles is right out front. Spectacular views of Bukit Peninsula.
Anantara Uluwatu Bali Resort,A very pleasant relax hotel in Uluwatu,08/01/2021,"A cliffside, exclusive hotel in coastline of Uluwatu with serene atmosphere, amazing views to the ocean and spacious rooms fit for family or couple staycations. Hotel is most suitable for a laid-back, slow-paced and quiet retreat-like experience. I'd recommend at least spending two full days at the hotel to enjoy everything the hotel has to offer, as there are lots to see and do and it'd be the best way to get the most value out of the hotel. Rooms are also very comfortable and spacious, complete with very comfortable beddings as well. It is definitely a good idea to enjoy them as long as you can while you stay here. I won't recommend staying here if you're planning to go outside and about for most of the day because you'll be missing out on much that way."
Anantara Uluwatu Bali Resort,最悪のホテル,08/01/2021,昨年ここのホテルのvoucherを購入しました。2021年末迄の使用期限ですが、このコロナ禍で海外旅行に行けません。 日本だけでなくバリ島でも観光客の受け入れをしていません。どう考えてもバリにいくすべがないんです。なので voucherの使用期限延長について問い合わせをしたところ、はじめは延長はないと言う返答、それはないのではと再交渉したら来年7.8月以外でさらに4泊につき600ドル追加を払うなら考えると回答。納得がいかないので返金をして欲しいと交渉しましたが断られました。バニヤンツリーで同じくvoucherを購入しましたがバニヤンツリーはホテルから予約期限延長の連絡がきました。一流ホテルと一流ぶっているホテルの差なのか？海外旅行に行けない今、海外旅行を夢見て宿泊券を購入しているのに誠意ない対応に悲しくなりました。
Anantara Uluwatu Bali Resort,Amazing ocean view from the room.,08/01/2021,They have amazing view and access to the beach. You can see sunset from your room. The room was still clean and well maintain during the pandemic. Friendly and helpfull staff. They gave me surprised birthdaycake. Thank you so much.
Double-Six Luxury Hotel Seminyak,Luxury Hotel in Seminyak,10/01/2021,"One pf the best luxury hotel in Seminyak area. Spacious room, clean bathroom dan the best part is my balcony facing the swimming pool dan the ocean directly. Would love to spend more days and definetely will comeback again to this beautiful hotel with Miami vibes"
Double-Six Luxury Hotel Seminyak,Lovely Hotel in Seminyak,10/01/2021,"It’s our second stay here, but now with the kids and parents. Everything is still lovely like it was. We stayed in penthouse which has 2 bedroom and spacious living room with rooftop jacuzzi, beautiful! Breakfast menus become more Indonesian, totally understood as we have mostly domestic travellers, taste good tho. Service is very professional as always. Highly recommend this hotel for those who’d like to explore Seminyak area."
Double-Six Luxury Hotel Seminyak,My wonderful babymoon 3days2night at deluxe suites with ocean view Double Six Luxury Hotel Seminyak.,10/01/2021,"Salah satu the best hotel yang aku pilih selama menginap di Bali. Mulai dari kamarnya yang super bersih dan viewnya yang totally beautiful, makanannya enak bgt pas breakfast, viewnya dimana2 yang cantik bgt bahkan sampe seluruh pegawainya ramah banget! Totally awesome❤️ Will be here soon with my big family!"
Double-Six Luxury Hotel Seminyak,"5 Stars Hotel, Breakfast 3 Stars",09/01/2021,"I stayed 4 nights from September 25, 2021 until 29th wirh my cousins. The hotel room which we choosed is Leisure Suite, the room is quite large and nice. The bathroom is large but the position is weird. When you enter the room the bathroom is right there with a door to the bedroom. Breakfast is only ala carte, no much choice in the menu and everyday is the same. For breakfast I will only give 3 stars."
Double-Six Luxury Hotel Seminyak,Villa bagus,09/01/2021,"Keren bgt sini vie villa , recomended banget stay di sni fasilitasnya lengkap tempatnya bersih instagramable banget dan staff nya ramah , pasti akan balik lgi ksni , lengkap ada jacuzzinya jga dan terimakasih jayanti membantu selama stay"
Double-Six Luxury Hotel Seminyak,Perlu perawatan,09/01/2021,Senang bisa kembali kesini. Staff msh ramah AC dingin Makanan enak Lokasi strategis dekat pantai Air panas ok Kolam renang bersih Tapi ada 1 hal... lemari bau apek Mungkin karena masa pandemi...jadi banyak room yang jarang di tempati. Moga ke depan nya bisa lebih baik lagi
Double-Six Luxury Hotel Seminyak,Seminyak aksari,08/01/2021,"Vill ini sangat menarik..ada jacuzzi dan private pool di masing masing villany , staffnya juga sangat ramah dan baik hati ..disamping aksari masih ada beberapa property lainnya ..diaksari juga dilengkapi dengan Netflix ada juga Alexa untuk hiburan , tentang lokasi villa ini dekat dengan double six beach cuma sayang masih PPKM."
Golden Tulip Jineng Resort,Good FAMILY HOTEL,10/01/2021,"Staying 3N here, good hotel, good open space and pool, luxurious, however this is very suitable for family, since there's lot of kids in the pool area. The breakfast is quite basic, and the room if still find some spot that not clean enough, when I arrived i need to call the housekeeping 2 times to make the room cleaner. The hotel also seems to reduce the cost, since in 3 nights I've stayed they never changed the hand sanitizer in the lift, so it always empty. But it's really recommended if you have family with kids to stay here"
Natya Resort Ubud,Beautiful forest view from the bedroom. True Ubud vibes.,08/01/2021,"We absolutely loved our stay at Natya, especially given how beautiful of a view you have from the bedroom overlooking the lush forest jungle. The bathtub was nice (and had enough hot water thankfully!) and it was beautiful to have a downstairs area to hang around by the pool. Didn’t use the private pool at all, as it was just a plunge pool, but it was a beautiful venue that was so serene, quiet, and enveloped in nature. The pool for all guests is stunning and overlooks into the forest as well, so I’ll have to come back to use it!"
